city,city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target,gender_female,gender_male,gender_missing,gender_other,major_arts,major_business,major_humanities,major_missing,major_noMajor,major_other,major_STEM,experience_type
102,0.804,1,3,2,10,9,1,48,0,0,0,1,0,0,0,0,0,0,0,1,4.0
40,0.7759999999999999,1,3,3,0,3,1,65,0,0,1,0,0,0,0,1,0,0,0,0,7.0
21,0.624,1,3,3,5,3,1,13,0,0,0,1,0,0,0,0,0,0,0,1,5.0
67,0.855,0,3,4,4,9,0,22,0,0,0,1,0,0,0,0,1,0,0,0,5.0
21,0.624,1,2,3,14,4,1,148,1,0,0,1,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,5,9,2,72,0,0,1,0,0,1,0,0,0,0,0,0,5.0
100,0.887,1,3,4,11,8,1,8,1,0,1,0,0,0,0,0,1,0,0,0,3.0
21,0.624,1,3,3,18,6,2,68,1,0,1,0,0,0,0,0,0,0,0,1,2.0
103,0.92,1,3,3,21,5,3,40,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,2,3,19,2,5,141,0,0,1,0,0,0,0,0,0,0,0,1,2.0
103,0.92,0,1,3,5,9,1,24,0,1,0,0,0,0,0,0,0,0,0,1,5.0
160,0.92,1,3,3,21,5,5,82,0,1,0,0,0,0,0,0,0,0,0,1,1.0
16,0.91,1,3,3,12,2,3,145,0,0,1,0,0,0,1,0,0,0,0,0,3.0
103,0.92,1,3,3,10,7,2,206,0,0,1,0,0,0,0,0,0,0,0,1,4.0
114,0.926,0,2,4,1,1,1,152,0,0,1,0,0,0,0,0,1,0,0,0,6.0
114,0.926,1,3,1,21,5,4,42,1,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,0,3,3,12,9,4,50,0,0,0,1,0,0,0,0,0,0,0,1,3.0
71,0.884,0,3,3,3,9,0,106,0,0,1,0,0,0,0,0,1,0,0,0,6.0
114,0.926,1,1,2,16,3,2,14,0,1,0,0,0,0,0,0,0,0,0,1,2.0
104,0.924,1,3,4,4,7,2,36,0,0,1,0,0,0,0,0,1,0,0,0,5.0
21,0.624,1,3,2,6,6,1,112,1,0,0,1,0,0,0,0,0,0,0,1,5.0
64,0.6659999999999999,0,3,3,9,6,0,108,0,0,0,1,0,0,0,0,0,1,0,0,4.0
21,0.624,1,2,2,9,2,3,7,1,0,1,0,0,0,0,0,0,0,0,1,4.0
21,0.624,0,1,2,5,9,0,26,1,1,0,0,0,0,0,0,0,0,0,1,5.0
21,0.624,1,3,3,5,5,0,87,1,0,1,0,0,0,0,0,0,0,0,1,5.0
103,0.92,1,3,3,19,1,4,52,1,0,0,0,1,0,0,0,0,0,0,1,2.0
101,0.5579999999999999,1,3,3,15,9,5,20,1,0,1,0,0,0,0,0,0,1,0,0,3.0
83,0.923,1,3,3,11,7,1,21,0,0,1,0,0,0,0,0,0,0,0,1,3.0
101,0.5579999999999999,0,3,3,4,9,1,92,1,0,1,0,0,0,0,0,0,0,0,1,5.0
64,0.6659999999999999,1,3,3,10,5,2,102,0,0,1,0,0,0,0,0,0,0,0,1,4.0
105,0.794,0,3,3,5,1,5,26,0,0,1,0,0,0,0,1,0,0,0,0,5.0
104,0.924,1,3,2,3,8,2,7,0,0,0,1,0,0,0,0,0,0,0,1,6.0
114,0.926,0,1,4,4,1,1,43,0,0,1,0,0,0,0,0,1,0,0,0,5.0
104,0.924,1,3,3,21,5,1,45,0,0,1,0,0,0,0,0,0,0,0,1,1.0
73,0.754,1,1,3,2,6,2,52,0,0,1,0,0,0,0,0,0,0,0,1,6.0
103,0.92,1,3,3,21,9,2,19,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,1,1,3,2,7,1,32,1,0,0,1,0,0,0,0,0,0,0,1,6.0
162,0.767,1,3,3,21,5,5,26,1,0,1,0,0,0,0,1,0,0,0,0,1.0
67,0.855,1,2,3,6,9,1,90,0,0,1,0,0,0,0,0,0,0,0,1,5.0
75,0.939,1,3,3,6,5,3,25,0,0,1,0,0,0,0,0,0,0,0,1,5.0
41,0.8270000000000001,1,3,2,13,8,1,15,0,0,0,1,0,0,0,0,0,0,0,1,3.0
100,0.887,1,3,2,21,5,5,48,0,0,1,0,0,0,0,1,0,0,0,0,1.0
11,0.55,0,1,4,3,9,1,98,0,0,0,1,0,0,0,0,1,0,0,0,6.0
93,0.865,1,3,3,10,6,2,142,1,0,1,0,0,0,0,0,0,0,0,1,4.0
67,0.855,0,3,2,4,1,4,13,0,0,0,0,1,0,0,1,0,0,0,0,5.0
16,0.91,1,3,3,15,9,5,47,0,0,1,0,0,0,0,0,0,0,0,1,3.0
16,0.91,1,3,2,14,4,1,28,0,1,0,0,0,0,0,1,0,0,0,0,3.0
90,0.698,0,3,3,2,9,0,228,1,0,0,1,0,0,0,0,1,0,0,0,6.0
64,0.6659999999999999,1,3,3,21,9,4,22,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,0,1,3,0,9,0,18,1,0,1,0,0,0,0,0,0,0,0,1,7.0
13,0.8270000000000001,1,3,3,2,7,1,29,0,0,1,0,0,0,0,0,0,0,0,1,6.0
67,0.855,1,3,2,5,5,1,46,0,0,1,0,0,0,0,0,0,0,0,1,5.0
11,0.55,0,1,3,0,9,0,12,0,0,0,1,0,0,0,0,0,0,0,1,7.0
103,0.92,1,3,3,5,5,2,17,0,0,0,1,0,0,0,0,0,0,0,1,5.0
36,0.893,1,3,2,5,6,2,65,0,0,1,0,0,0,0,0,0,0,0,1,5.0
103,0.92,0,3,3,3,5,1,35,0,0,1,0,0,0,0,1,0,0,0,0,6.0
67,0.855,0,1,3,9,1,3,14,0,0,1,0,0,0,0,0,0,0,0,1,4.0
103,0.92,1,3,2,2,8,1,4,0,1,0,0,0,0,0,0,0,0,0,1,6.0
103,0.92,1,3,3,15,6,5,12,0,0,1,0,0,0,0,0,0,0,0,1,3.0
160,0.92,1,3,3,21,6,2,108,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,0,3,3,21,9,1,136,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,5,7,1,27,0,0,1,0,0,0,0,0,0,0,0,1,5.0
20,0.7959999999999999,1,2,2,4,6,1,74,0,0,0,1,0,0,0,0,0,0,0,1,5.0
71,0.884,1,3,3,15,7,1,86,0,0,1,0,0,0,0,0,0,0,0,1,3.0
57,0.866,0,2,3,0,7,2,83,0,1,0,0,0,0,0,0,0,0,0,1,7.0
103,0.92,0,1,4,4,9,3,75,0,0,0,1,0,0,0,0,1,0,0,0,5.0
152,0.698,0,1,2,11,9,2,42,0,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,6,5,1,332,0,1,0,0,0,0,0,0,0,0,0,1,5.0
61,0.913,0,1,3,4,9,1,140,0,0,1,0,0,0,0,0,0,0,0,1,5.0
16,0.91,0,3,4,3,9,0,182,0,0,1,0,0,0,0,0,1,0,0,0,6.0
103,0.92,0,3,3,3,5,1,13,1,1,0,0,0,0,0,1,0,0,0,0,6.0
19,0.682,1,3,3,5,7,2,172,1,0,0,1,0,0,0,0,0,0,0,1,5.0
103,0.92,1,3,3,10,5,1,48,0,0,0,1,0,0,0,0,0,0,0,1,4.0
65,0.802,1,1,3,9,6,1,33,0,0,1,0,0,0,0,0,0,0,0,1,4.0
160,0.92,0,1,4,2,5,1,142,0,0,0,1,0,0,0,0,1,0,0,0,6.0
74,0.579,0,1,3,2,5,1,34,0,0,0,1,0,0,0,0,0,0,0,1,6.0
65,0.802,1,3,3,6,6,2,14,1,0,1,0,0,0,0,0,0,0,0,1,5.0
11,0.55,1,3,3,6,7,2,27,1,0,1,0,0,0,0,0,0,0,0,1,5.0
11,0.55,1,3,3,8,5,1,24,1,0,1,0,0,0,0,0,0,0,0,1,4.0
173,0.878,0,3,2,21,9,1,150,0,0,0,1,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,11,4,5,20,0,1,0,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,5,4,1,140,0,0,0,1,0,0,0,0,0,0,0,1,5.0
16,0.91,1,3,3,12,2,1,52,0,0,1,0,0,0,0,0,0,0,0,1,3.0
75,0.939,1,3,3,21,6,2,160,0,0,1,0,0,0,0,0,0,0,0,1,1.0
136,0.897,1,3,2,9,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,4.0
21,0.624,1,3,3,2,8,2,2,1,0,1,0,0,0,0,0,0,0,0,1,6.0
16,0.91,1,3,3,21,3,5,28,0,0,1,0,0,0,0,0,0,0,0,1,1.0
73,0.754,1,3,3,21,9,4,46,0,0,1,0,0,0,0,0,0,0,1,0,1.0
67,0.855,1,3,3,8,6,1,210,0,0,1,0,0,0,0,0,0,0,0,1,4.0
114,0.926,1,3,3,10,8,1,36,0,0,1,0,0,0,0,0,0,0,0,1,4.0
98,0.949,0,1,3,4,9,1,160,1,0,1,0,0,0,0,0,0,0,0,1,5.0
21,0.624,1,1,3,2,7,2,101,0,0,1,0,0,0,0,0,0,0,0,1,6.0
114,0.926,1,3,2,6,6,1,46,0,0,1,0,0,0,0,0,0,0,0,1,5.0
97,0.925,1,3,3,21,3,5,19,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,1,3,3,3,5,2,26,1,0,1,0,0,0,0,0,0,0,0,1,6.0
90,0.698,1,1,3,7,8,1,90,0,0,0,1,0,0,0,0,0,0,0,1,4.0
50,0.8959999999999999,1,3,3,9,8,4,59,0,0,1,0,0,0,0,0,0,0,0,1,4.0
160,0.92,1,2,3,10,6,1,260,0,0,1,0,0,0,1,0,0,0,0,0,4.0
21,0.624,1,3,3,11,6,5,74,0,1,0,0,0,0,0,0,0,0,0,1,3.0
16,0.91,1,3,1,21,5,2,20,1,0,1,0,0,0,0,0,0,0,0,1,1.0
173,0.878,1,3,3,12,5,2,8,0,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,6,5,1,131,0,0,1,0,0,0,0,0,0,0,0,1,5.0
138,0.836,1,1,2,7,9,1,45,0,0,1,0,0,0,0,0,0,0,0,1,4.0
82,0.693,1,1,3,11,7,2,109,0,0,1,0,0,0,0,0,0,0,0,1,3.0
67,0.855,1,3,3,3,5,1,70,0,0,1,0,0,0,0,1,0,0,0,0,6.0
103,0.92,1,3,3,21,5,5,17,0,1,0,0,0,0,0,0,0,0,0,1,1.0
103,0.92,0,3,2,15,6,1,51,0,1,0,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,6,6,3,60,1,1,0,0,0,0,0,0,0,0,0,1,5.0
36,0.893,0,3,1,21,3,5,4,0,0,0,1,0,0,0,0,0,0,0,1,1.0
114,0.926,0,3,3,12,5,5,7,0,0,1,0,0,0,0,0,0,0,0,1,3.0
102,0.804,1,3,2,21,5,3,164,0,0,0,1,0,0,0,0,0,0,0,1,1.0
64,0.6659999999999999,1,3,3,20,9,4,290,0,0,1,0,0,0,0,0,0,0,0,1,2.0
102,0.804,0,3,4,2,8,0,145,0,0,1,0,0,0,0,0,1,0,0,0,6.0
103,0.92,0,3,1,9,9,1,70,0,0,0,1,0,0,0,0,0,0,0,1,4.0
21,0.624,0,3,3,3,9,1,24,0,0,1,0,0,0,0,0,1,0,0,0,6.0
103,0.92,0,3,2,3,1,1,133,1,0,1,0,0,0,0,1,0,0,0,0,6.0
11,0.55,0,1,3,2,9,1,20,0,0,0,1,0,0,0,0,0,0,0,1,6.0
103,0.92,1,3,3,10,8,1,76,0,0,1,0,0,0,0,0,0,0,0,1,4.0
90,0.698,0,1,2,5,9,4,21,1,1,0,0,0,0,0,0,0,0,0,1,5.0
21,0.624,1,3,3,8,2,2,34,0,1,0,0,0,0,0,0,0,0,1,0,4.0
160,0.92,0,3,3,9,8,2,15,0,0,1,0,0,0,0,0,0,0,0,1,4.0
57,0.866,0,3,3,21,9,5,156,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,21,2,5,15,0,0,1,0,0,0,0,0,0,0,0,1,1.0
114,0.926,1,3,2,21,9,0,120,0,0,0,1,0,0,0,0,0,0,0,1,1.0
157,0.769,1,3,3,14,1,5,47,0,0,0,1,0,0,0,0,0,1,0,0,3.0
73,0.754,1,3,3,12,9,2,100,1,0,1,0,0,0,0,0,0,0,0,1,3.0
67,0.855,1,2,3,6,4,0,102,0,0,1,0,0,0,0,0,0,0,0,1,5.0
103,0.92,0,3,4,4,9,0,52,0,0,1,0,0,0,0,0,1,0,0,0,5.0
114,0.926,1,3,4,9,7,4,39,0,0,0,1,0,0,0,0,1,0,0,0,4.0
103,0.92,1,1,4,4,9,1,112,1,0,1,0,0,0,0,0,1,0,0,0,5.0
103,0.92,0,3,1,21,6,5,14,0,0,1,0,0,0,0,0,0,0,0,1,1.0
16,0.91,1,3,3,11,9,1,4,0,0,0,1,0,0,0,0,1,0,0,0,3.0
16,0.91,1,3,2,21,3,5,55,0,0,0,1,0,1,0,0,0,0,0,0,1.0
21,0.624,1,3,3,6,1,4,49,1,0,1,0,0,0,0,0,0,0,0,1,5.0
16,0.91,1,3,3,15,9,5,72,0,0,1,0,0,0,0,0,0,0,0,1,3.0
89,0.925,1,1,3,14,2,3,141,1,0,1,0,0,0,0,0,0,0,0,1,3.0
114,0.926,0,3,4,6,9,0,28,0,0,1,0,0,0,0,0,1,0,0,0,5.0
103,0.92,1,3,3,13,1,1,6,0,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,17,2,1,125,0,0,1,0,0,0,0,0,0,1,0,0,2.0
75,0.939,1,3,3,21,9,0,326,0,0,0,1,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,21,5,2,33,0,0,1,0,0,0,0,0,0,0,1,0,1.0
102,0.804,0,3,2,6,1,5,40,0,0,0,1,0,0,0,0,0,0,0,1,5.0
160,0.92,1,3,3,18,9,1,198,1,0,0,1,0,0,0,0,0,0,0,1,2.0
103,0.92,1,3,2,15,1,5,55,0,1,0,0,0,0,0,0,0,0,0,1,3.0
150,0.698,0,3,3,21,4,5,32,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,21,5,5,11,0,0,1,0,0,1,0,0,0,0,0,0,1.0
73,0.754,1,3,3,21,8,1,41,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,2,21,1,5,87,1,0,1,0,0,0,0,0,0,0,0,1,1.0
67,0.855,1,3,2,10,5,4,114,0,0,1,0,0,0,0,0,0,0,0,1,4.0
70,0.698,1,3,3,21,9,5,33,0,0,0,1,0,0,0,0,1,0,0,0,1.0
90,0.698,1,2,2,5,8,1,15,0,0,1,0,0,0,0,0,0,0,0,1,5.0
16,0.91,0,1,4,3,9,1,8,0,0,0,1,0,0,0,0,1,0,0,0,6.0
173,0.878,1,2,4,2,5,1,22,0,1,0,0,0,0,0,0,1,0,0,0,6.0
103,0.92,1,3,2,21,2,4,13,0,0,1,0,0,0,0,0,0,0,0,1,1.0
98,0.949,1,3,3,21,8,1,246,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,2,9,7,1,22,0,0,1,0,0,0,0,0,0,0,0,1,4.0
103,0.92,1,3,2,21,8,1,81,0,0,1,0,0,0,0,0,0,0,0,1,1.0
175,0.7759999999999999,1,1,3,4,7,1,11,0,0,0,1,0,0,0,0,0,0,0,1,5.0
94,0.698,0,1,3,5,2,1,24,1,0,1,0,0,0,0,0,0,0,0,1,5.0
103,0.92,1,3,3,21,5,1,50,0,0,1,0,0,0,0,0,0,0,0,1,1.0
104,0.924,0,1,4,6,9,0,15,0,0,1,0,0,0,0,0,1,0,0,0,5.0
28,0.939,1,3,2,21,7,5,31,0,0,1,0,0,0,0,0,0,0,0,1,1.0
114,0.926,1,3,2,21,6,0,84,0,0,1,0,0,0,0,0,0,0,0,1,1.0
136,0.897,1,2,3,4,1,1,42,0,0,1,0,0,0,0,0,0,0,0,1,5.0
21,0.624,1,3,3,10,7,5,105,1,0,0,1,0,0,0,0,0,0,0,1,4.0
103,0.92,1,3,3,21,6,5,72,0,1,0,0,0,0,0,0,0,0,0,1,1.0
115,0.789,1,3,3,14,7,5,42,1,0,1,0,0,0,0,0,0,0,0,1,3.0
94,0.698,1,3,3,15,6,1,152,0,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,12,1,1,60,0,0,1,0,0,0,0,0,0,0,0,1,3.0
21,0.624,0,1,2,2,9,0,8,0,0,1,0,0,0,0,0,0,0,0,1,6.0
16,0.91,0,1,2,13,9,3,17,1,0,1,0,0,0,0,0,0,0,0,1,3.0
83,0.923,0,3,4,1,9,1,33,0,0,1,0,0,0,0,0,1,0,0,0,6.0
16,0.91,1,3,2,4,5,0,38,0,0,1,0,0,0,0,0,0,0,0,1,5.0
103,0.92,1,3,3,14,8,2,178,0,0,1,0,0,0,0,1,0,0,0,0,3.0
160,0.92,1,3,3,15,6,1,11,0,0,1,0,0,0,0,0,0,0,0,1,3.0
36,0.893,1,3,4,21,9,0,87,0,0,1,0,0,0,0,0,1,0,0,0,1.0
65,0.802,1,3,3,13,9,0,84,0,0,1,0,0,0,0,0,0,0,0,1,3.0
71,0.884,1,3,3,21,5,2,32,0,0,1,0,0,0,0,0,0,0,0,1,1.0
100,0.887,1,3,2,9,5,1,31,1,0,0,1,0,0,0,0,0,0,0,1,4.0
21,0.624,0,3,3,2,4,1,39,0,0,1,0,0,0,0,0,0,0,0,1,6.0
59,0.775,1,3,3,7,7,1,12,0,0,0,1,0,0,0,0,0,0,0,1,4.0
21,0.624,1,1,3,5,1,1,50,0,0,0,1,0,0,0,0,0,0,0,1,5.0
165,0.903,1,3,3,3,5,1,55,1,0,1,0,0,0,0,0,0,0,0,1,6.0
11,0.55,1,3,3,5,6,1,7,1,0,0,1,0,0,0,0,0,0,0,1,5.0
103,0.92,1,3,2,2,6,1,104,0,0,1,0,0,0,0,1,0,0,0,0,6.0
160,0.92,1,1,3,21,9,5,90,1,0,0,1,0,0,1,0,0,0,0,0,1.0
103,0.92,1,3,2,21,5,5,8,0,0,1,0,0,0,0,0,0,0,1,0,1.0
21,0.624,0,1,3,2,9,0,102,0,0,1,0,0,0,0,0,0,0,0,1,6.0
21,0.624,1,3,2,0,7,1,202,1,0,0,1,0,0,0,0,0,0,0,1,7.0
145,0.555,1,3,3,4,5,1,22,0,0,0,1,0,0,0,0,0,0,0,1,5.0
21,0.624,0,1,3,3,9,0,42,0,0,1,0,0,0,0,0,0,0,0,1,6.0
160,0.92,0,3,5,4,9,0,50,0,0,0,1,0,0,0,0,1,0,0,0,5.0
21,0.624,1,3,2,3,6,1,88,0,0,1,0,0,0,0,0,0,0,0,1,6.0
73,0.754,1,3,3,5,3,4,81,0,0,0,1,0,0,0,0,0,0,0,1,5.0
103,0.92,1,3,2,21,1,1,7,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,0,3,3,3,9,0,218,0,0,1,0,0,0,0,0,1,0,0,0,6.0
16,0.91,1,3,3,21,1,5,62,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,6,6,1,83,0,0,1,0,0,0,0,0,0,0,0,1,5.0
28,0.939,1,3,3,9,3,5,11,0,0,1,0,0,0,0,0,0,0,0,1,4.0
114,0.926,0,2,1,21,6,5,10,0,0,1,0,0,0,0,0,0,0,0,1,1.0
28,0.939,1,3,2,10,3,1,114,0,0,1,0,0,0,0,0,0,0,0,1,4.0
21,0.624,1,3,2,3,6,1,36,0,0,0,1,0,0,0,0,0,0,0,1,6.0
102,0.804,0,3,2,6,7,1,17,0,0,0,1,0,0,0,0,0,0,0,1,5.0
16,0.91,0,1,3,2,9,0,80,1,0,1,0,0,0,0,0,0,0,0,1,6.0
160,0.92,1,2,3,21,6,5,108,0,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,2,5,2,45,0,0,1,0,0,0,0,0,0,0,0,1,6.0
103,0.92,0,1,3,5,9,0,77,0,0,1,0,0,0,0,0,0,0,0,1,5.0
114,0.926,1,3,2,15,5,2,8,0,0,1,0,0,0,0,0,0,0,0,1,3.0
173,0.878,0,3,3,5,9,1,28,0,0,0,1,0,0,0,0,0,0,0,1,5.0
142,0.727,1,3,3,9,5,5,37,0,1,0,0,0,0,0,0,0,0,0,1,4.0
16,0.91,0,1,3,2,9,2,108,1,0,0,1,0,0,0,0,0,0,0,1,6.0
103,0.92,1,3,3,13,4,2,162,0,0,1,0,0,0,0,0,0,0,0,1,3.0
73,0.754,1,1,4,9,9,5,41,0,0,0,1,0,0,0,0,1,0,0,0,4.0
165,0.903,1,3,2,19,5,4,4,0,0,1,0,0,0,0,0,0,0,0,1,2.0
71,0.884,0,3,1,3,3,1,41,0,1,0,0,0,0,0,0,0,0,0,1,6.0
165,0.903,1,3,3,17,1,2,12,0,0,0,1,0,0,0,0,0,0,0,1,2.0
103,0.92,1,3,3,21,6,1,190,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,1,3,3,7,6,5,29,1,0,0,1,0,0,0,0,0,0,0,1,4.0
103,0.92,1,3,3,6,5,1,11,0,0,1,0,0,0,0,0,0,0,0,1,5.0
103,0.92,0,1,4,3,1,1,30,0,0,1,0,0,0,0,0,1,0,0,0,6.0
103,0.92,1,3,2,13,5,5,39,0,0,1,0,0,0,0,0,0,0,0,1,3.0
102,0.804,1,1,4,9,9,1,16,0,0,1,0,0,0,0,0,1,0,0,0,4.0
114,0.926,0,3,3,21,6,5,5,0,0,1,0,0,0,0,0,0,0,0,1,1.0
26,0.698,0,1,4,8,9,0,39,0,0,1,0,0,0,0,0,1,0,0,0,4.0
114,0.926,1,3,2,10,6,5,29,0,0,1,0,0,0,0,0,0,0,0,1,4.0
21,0.624,1,1,2,4,6,2,210,0,0,0,1,0,0,0,0,0,0,0,1,5.0
103,0.92,0,2,4,6,6,1,54,0,0,0,0,1,0,0,0,1,0,0,0,5.0
160,0.92,1,3,3,9,6,3,44,0,0,1,0,0,0,0,0,0,0,0,1,4.0
16,0.91,1,3,3,15,9,5,47,0,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,21,3,5,74,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,1,3,2,6,7,1,8,1,0,1,0,0,0,0,0,0,0,0,1,5.0
21,0.624,0,1,3,7,9,0,20,1,0,0,1,0,0,0,0,0,0,0,1,4.0
103,0.92,1,3,3,3,4,1,162,0,0,1,0,0,0,0,0,0,0,0,1,6.0
36,0.893,0,3,3,2,6,1,110,0,0,0,1,0,0,1,0,0,0,0,0,6.0
46,0.762,1,2,4,3,7,1,262,0,0,0,0,1,0,0,0,1,0,0,0,6.0
138,0.836,1,3,2,14,9,1,6,0,0,1,0,0,0,0,0,0,0,0,1,3.0
64,0.6659999999999999,1,2,3,9,7,1,19,1,0,1,0,0,0,0,0,0,0,0,1,4.0
64,0.6659999999999999,0,3,3,21,6,5,23,1,0,0,0,1,0,0,0,0,0,0,1,1.0
21,0.624,0,3,3,0,9,1,107,1,0,1,0,0,0,0,0,0,0,0,1,7.0
136,0.897,1,3,2,15,1,5,134,0,0,1,0,0,0,0,0,0,0,0,1,3.0
114,0.926,1,3,2,11,7,1,40,0,0,1,0,0,0,0,0,0,0,0,1,3.0
71,0.884,1,3,3,12,6,1,11,0,0,1,0,0,0,0,0,0,0,0,1,3.0
160,0.92,1,3,3,11,9,3,102,0,0,1,0,0,0,0,0,0,0,0,1,3.0
21,0.624,0,1,3,2,9,0,100,0,0,1,0,0,0,0,0,0,0,0,1,6.0
83,0.923,0,3,2,3,1,0,30,0,0,1,0,0,0,0,0,0,0,0,1,6.0
103,0.92,0,3,4,5,9,1,20,1,0,0,1,0,0,0,0,1,0,0,0,5.0
103,0.92,1,3,3,14,3,3,4,0,0,0,1,0,0,0,0,0,0,0,1,3.0
16,0.91,0,3,5,5,9,0,15,0,0,0,1,0,0,0,0,1,0,0,0,5.0
21,0.624,0,3,3,0,9,1,14,1,0,1,0,0,0,0,0,0,0,0,1,7.0
83,0.923,0,3,5,1,9,0,103,0,0,1,0,0,0,0,0,1,0,0,0,6.0
160,0.92,1,2,3,5,3,2,40,0,0,1,0,0,0,0,0,0,0,0,1,5.0
16,0.91,1,3,1,21,5,2,27,0,0,1,0,0,0,0,0,0,0,0,1,1.0
114,0.926,0,3,4,10,5,5,46,0,0,1,0,0,0,0,0,1,0,0,0,4.0
114,0.926,1,3,4,7,6,5,110,0,0,1,0,0,0,0,0,1,0,0,0,4.0
103,0.92,1,3,3,13,6,1,96,0,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,5,1,2,57,0,0,0,1,0,0,0,0,0,0,0,1,5.0
160,0.92,1,1,3,6,9,1,240,0,0,1,0,0,0,0,0,0,0,0,1,5.0
98,0.949,1,3,3,4,6,4,42,0,0,1,0,0,0,0,0,0,0,0,1,5.0
75,0.939,1,3,2,7,9,1,16,1,0,1,0,0,0,0,0,0,0,0,1,4.0
12,0.64,1,3,3,21,6,0,40,1,0,1,0,0,0,0,0,0,0,0,1,1.0
103,0.92,1,3,3,5,5,2,94,0,0,1,0,0,0,0,0,0,0,0,1,5.0
37,0.794,0,3,3,9,2,1,160,0,0,0,1,0,0,0,0,0,0,0,1,4.0
173,0.878,0,2,3,10,7,1,25,0,0,1,0,0,0,0,0,0,0,0,1,4.0
